Product Name,SKU,Category,Price (INR),Description
Wireless Headphones,ELE2000,Electronics,10063.69,A premium quality wireless headphones in the Electronics category. Great value for money.
Gaming Mouse,ELE2001,Electronics,11119.62,A premium quality gaming mouse in the Electronics category. Great value for money.
Bluetooth Speaker,ELE2002,Electronics,5789.8,A premium quality bluetooth speaker in the Electronics category. Great value for money.
Smartwatch,ELE2003,Electronics,14018.77,A premium quality smartwatch in the Electronics category. Great value for money.
Gaming Mouse,ELE2004,Electronics,5511.28,A premium quality gaming mouse in the Electronics category. Great value for money.
LED Monitor,ELE2005,Electronics,12153.06,A premium quality led monitor in the Electronics category. Great value for money.
USB Flash Drive,ELE2006,Electronics,3654.86,A premium quality usb flash drive in the Electronics category. Great value for money.
Smartwatch,ELE2007,Electronics,4800.68,A premium quality smartwatch in the Electronics category. Great value for money.
Wireless Headphones,ELE2008,Electronics,9126.89,A premium quality wireless headphones in the Electronics category. Great value for money.
Wireless Headphones,ELE2009,Electronics,3443.07,A premium quality wireless headphones in the Electronics category. Great value for money.
Wireless Headphones,ELE2010,Electronics,3423.65,A premium quality wireless headphones in the Electronics category. Great value for money.
LED Monitor,ELE2011,Electronics,14916.54,A premium quality led monitor in the Electronics category. Great value for money.
Wireless Headphones,ELE2012,Electronics,9723.39,A premium quality wireless headphones in the Electronics category. Great value for money.
USB Flash Drive,ELE2013,Electronics,5368.66,A premium quality usb flash drive in the Electronics category. Great value for money.
Wi-Fi Router,ELE2014,Electronics,14484.4,A premium quality wi-fi router in the Electronics category. Great value for money.
Board Game,TOY2015,Toys,1113.54,A premium quality board game in the Toys category. Great value for money.
Action Figure,TOY2016,Toys,1243.52,A premium quality action figure in the Toys category. Great value for money.
Dollhouse,TOY2017,Toys,1469.03,A premium quality dollhouse in the Toys category. Great value for money.
Toy Train,TOY2018,Toys,1159.39,A premium quality toy train in the Toys category. Great value for money.
Board Game,TOY2019,Toys,1067.16,A premium quality board game in the Toys category. Great value for money.
Board Game,TOY2020,Toys,1363.95,A premium quality board game in the Toys category. Great value for money.
Dollhouse,TOY2021,Toys,283.43,A premium quality dollhouse in the Toys category. Great value for money.
Remote Control Car,TOY2022,Toys,1268.84,A premium quality remote control car in the Toys category. Great value for money.
Lego Building Set,TOY2023,Toys,1256.36,A premium quality lego building set in the Toys category. Great value for money.
Toy Train,TOY2024,Toys,868.76,A premium quality toy train in the Toys category. Great value for money.
Puzzle Set,TOY2025,Toys,672.18,A premium quality puzzle set in the Toys category. Great value for money.
Remote Control Car,TOY2026,Toys,640.55,A premium quality remote control car in the Toys category. Great value for money.
Lego Building Set,TOY2027,Toys,280.63,A premium quality lego building set in the Toys category. Great value for money.
Action Figure,TOY2028,Toys,1428.08,A premium quality action figure in the Toys category. Great value for money.
Puzzle Set,TOY2029,Toys,258.39,A premium quality puzzle set in the Toys category. Great value for money.
Granola Mix,FOO2030,Food,98.37,A premium quality granola mix in the Food category. Great value for money.
Pasta Pack,FOO2031,Food,190.24,A premium quality pasta pack in the Food category. Great value for money.
Olive Oil,FOO2032,Food,248.95,A premium quality olive oil in the Food category. Great value for money.
Spaghetti Sauce,FOO2033,Food,467.52,A premium quality spaghetti sauce in the Food category. Great value for money.
Olive Oil,FOO2034,Food,424.46,A premium quality olive oil in the Food category. Great value for money.
Olive Oil,FOO2035,Food,213.18,A premium quality olive oil in the Food category. Great value for money.
Olive Oil,FOO2036,Food,269.5,A premium quality olive oil in the Food category. Great value for money.
Instant Noodles,FOO2037,Food,72.39,A premium quality instant noodles in the Food category. Great value for money.
Spaghetti Sauce,FOO2038,Food,407.8,A premium quality spaghetti sauce in the Food category. Great value for money.
Chocolate Bar,FOO2039,Food,492.93,A premium quality chocolate bar in the Food category. Great value for money.
Chocolate Bar,FOO2040,Food,353.54,A premium quality chocolate bar in the Food category. Great value for money.
Pasta Pack,FOO2041,Food,253.2,A premium quality pasta pack in the Food category. Great value for money.
Peanut Butter Jar,FOO2042,Food,123.38,A premium quality peanut butter jar in the Food category. Great value for money.
Honey Bottle,FOO2043,Food,264.61,A premium quality honey bottle in the Food category. Great value for money.
Instant Noodles,FOO2044,Food,181.91,A premium quality instant noodles in the Food category. Great value for money.
Toilet Paper Pack,GRO2045,Groceries,217.65,A premium quality toilet paper pack in the Groceries category. Great value for money.
Rice Bag,GRO2046,Groceries,121.07,A premium quality rice bag in the Groceries category. Great value for money.
Dishwashing Liquid,GRO2047,Groceries,613.73,A premium quality dishwashing liquid in the Groceries category. Great value for money.
Toilet Paper Pack,GRO2048,Groceries,119.36,A premium quality toilet paper pack in the Groceries category. Great value for money.
Salt Pack,GRO2049,Groceries,548.02,A premium quality salt pack in the Groceries category. Great value for money.
Rice Bag,GRO2050,Groceries,747.52,A premium quality rice bag in the Groceries category. Great value for money.
Shampoo Bottle,GRO2051,Groceries,739.62,A premium quality shampoo bottle in the Groceries category. Great value for money.
Dishwashing Liquid,GRO2052,Groceries,471.94,A premium quality dishwashing liquid in the Groceries category. Great value for money.
Detergent Powder,GRO2053,Groceries,713.02,A premium quality detergent powder in the Groceries category. Great value for money.
Toilet Paper Pack,GRO2054,Groceries,124.52,A premium quality toilet paper pack in the Groceries category. Great value for money.
Detergent Powder,GRO2055,Groceries,481.64,A premium quality detergent powder in the Groceries category. Great value for money.
Dishwashing Liquid,GRO2056,Groceries,576.83,A premium quality dishwashing liquid in the Groceries category. Great value for money.
Shampoo Bottle,GRO2057,Groceries,261.36,A premium quality shampoo bottle in the Groceries category. Great value for money.
Vegetable Oil,GRO2058,Groceries,411.39,A premium quality vegetable oil in the Groceries category. Great value for money.
Rice Bag,GRO2059,Groceries,593.66,A premium quality rice bag in the Groceries category. Great value for money.
Iced Coffee,DRI2060,Drinks,105.89,A premium quality iced coffee in the Drinks category. Great value for money.
Sparkling Water,DRI2061,Drinks,98.28,A premium quality sparkling water in the Drinks category. Great value for money.
Apple Juice,DRI2062,Drinks,100.79,A premium quality apple juice in the Drinks category. Great value for money.
Sparkling Water,DRI2063,Drinks,220.95,A premium quality sparkling water in the Drinks category. Great value for money.
Energy Drink,DRI2064,Drinks,229.69,A premium quality energy drink in the Drinks category. Great value for money.
Bottled Water,DRI2065,Drinks,92.71,A premium quality bottled water in the Drinks category. Great value for money.
Bottled Water,DRI2066,Drinks,73.39,A premium quality bottled water in the Drinks category. Great value for money.
Energy Drink,DRI2067,Drinks,127.23,A premium quality energy drink in the Drinks category. Great value for money.
Lemonade,DRI2068,Drinks,158.74,A premium quality lemonade in the Drinks category. Great value for money.
Cola Can,DRI2069,Drinks,192.99,A premium quality cola can in the Drinks category. Great value for money.
Green Tea,DRI2070,Drinks,183.48,A premium quality green tea in the Drinks category. Great value for money.
Cola Can,DRI2071,Drinks,238.67,A premium quality cola can in the Drinks category. Great value for money.
Sparkling Water,DRI2072,Drinks,281.32,A premium quality sparkling water in the Drinks category. Great value for money.
Apple Juice,DRI2073,Drinks,282.37,A premium quality apple juice in the Drinks category. Great value for money.
Lemonade,DRI2074,Drinks,101.51,A premium quality lemonade in the Drinks category. Great value for money.
Mystery Novel,BOO2075,Books,760.11,A premium quality mystery novel in the Books category. Great value for money.
Mystery Novel,BOO2076,Books,146.79,A premium quality mystery novel in the Books category. Great value for money.
Fantasy Series,BOO2077,Books,326.23,A premium quality fantasy series in the Books category. Great value for money.
Romantic Novel,BOO2078,Books,197.49,A premium quality romantic novel in the Books category. Great value for money.
Romantic Novel,BOO2079,Books,500.83,A premium quality romantic novel in the Books category. Great value for money.
Biography,BOO2080,Books,519.01,A premium quality biography in the Books category. Great value for money.
Romantic Novel,BOO2081,Books,354.8,A premium quality romantic novel in the Books category. Great value for money.
Biography,BOO2082,Books,524.44,A premium quality biography in the Books category. Great value for money.
Cookbook,BOO2083,Books,709.88,A premium quality cookbook in the Books category. Great value for money.
Self-help Guide,BOO2084,Books,525.17,A premium quality self-help guide in the Books category. Great value for money.
Science Textbook,BOO2085,Books,793.14,A premium quality science textbook in the Books category. Great value for money.
Science Textbook,BOO2086,Books,471.02,A premium quality science textbook in the Books category. Great value for money.
Cookbook,BOO2087,Books,349.47,A premium quality cookbook in the Books category. Great value for money.
Science Textbook,BOO2088,Books,396.35,A premium quality science textbook in the Books category. Great value for money.
Biography,BOO2089,Books,792.03,A premium quality biography in the Books category. Great value for money.
